{
'Raw input: ######kkoyöjy':'('LD output: kkoyöjy', 'UDT output: kkoyöjy')'
'Raw input: #####hhvyfsg#':'('LD output: hhvyfsg', 'UDT output: hhvyfsg')'
'Raw input: ####hhvyfsg##':'('LD output: hhvyfsg', 'UDT output: hhvyfsg')'
'Raw input: ###hhvyfsg###':'('LD output: hhvyfsg', 'UDT output: hhvyfsg')'
'Raw input: ##hhvyfsg####':'('LD output: hhvyfsg', 'UDT output: hhvyfsg')'
'Raw input: #hhvyfsg#####':'('LD output: hhvyfsg', 'UDT output: hhvyfsg')'
'Raw input: hhvyfsg######':'('LD output: hhvyfsg', 'UDT output: hhvyfsg')'
'Raw input: ######ätismät':'('LD output: ätismät', 'UDT output: ätismät')'
'Raw input: #####ätismät#':'('LD output: ätismät', 'UDT output: ätismät')'
'Raw input: ####ätismät##':'('LD output: ätismät', 'UDT output: ätismät')'
'Raw input: ###ätismät###':'('LD output: ätismät', 'UDT output: ätismät')'
'Raw input: ##ätismät####':'('LD output: ätismät', 'UDT output: ätismät')'
'Raw input: #ätismät#####':'('LD output: ätismät', 'UDT output: ätismät')'
'Raw input: ätismät######':'('LD output: ätismät', 'UDT output: ätismät')'
'Raw input: ######smmörgu':'('LD output: smmörgu', 'UDT output: smmörgu')'
'Raw input: #####smmörgu#':'('LD output: smmörgu', 'UDT output: smmörgu')'
'Raw input: ####smmörgu##':'('LD output: smmörgu', 'UDT output: smmörgu')'
'Raw input: ###smmörgu###':'('LD output: smmörgu', 'UDT output: smmörgu')'
'Raw input: ##smmörgu####':'('LD output: smmörgu', 'UDT output: smmörgu')'
'Raw input: #smmörgu#####':'('LD output: smmörgu', 'UDT output: smmörgu')'
'Raw input: smmörgu######':'('LD output: smmörgu', 'UDT output: smmörgu')'
'Raw input: ######kmäogld':'('LD output: kmäogld', 'UDT output: kmäogld')'
'Raw input: #####kmäogld#':'('LD output: kmäogld', 'UDT output: kmäogld')'
'Raw input: ####kmäogld##':'('LD output: kmäogld', 'UDT output: kmäogld')'
'Raw input: ###kmäogld###':'('LD output: kmäogld', 'UDT output: kmäogld')'
'Raw input: ##kmäogld####':'('LD output: kmäogld', 'UDT output: kmäogld')'
'Raw input: #kmäogld#####':'('LD output: kmäogld', 'UDT output: kmäogld')'
'Raw input: kmäogld######':'('LD output: kmäogld', 'UDT output: kmäogld')'
'Raw input: ######snbrjgr':'('LD output: snbrjgr', 'UDT output: snbrjgr')'
'Raw input: #####snbrjgr#':'('LD output: snbrjgr', 'UDT output: snbrjgr')'
'Raw input: ####snbrjgr##':'('LD output: snbrjgr', 'UDT output: snbrjgr')'
'Raw input: ###snbrjgr###':'('LD output: snbrjgr', 'UDT output: snbrjgr')'
'Raw input: ##snbrjgr####':'('LD output: snbrjgr', 'UDT output: snbrjgr')'
'Raw input: #snbrjgr#####':'('LD output: snbrjgr', 'UDT output: snbrjgr')'
'Raw input: snbrjgr######':'('LD output: snbrjgr', 'UDT output: snbrjgr')'
'Raw input: ######myjutuk':'('LD output: myjutuk', 'UDT output: myjutuk')'
'Raw input: #####myjutuk#':'('LD output: myjutuk', 'UDT output: myjutuk')'
'Raw input: ####myjutuk##':'('LD output: myjutuk', 'UDT output: myjutuk')'
'Raw input: ###myjutuk###':'('LD output: myjutuk', 'UDT output: myjutuk')'
'Raw input: ##myjutuk####':'('LD output: myjutuk', 'UDT output: myjutuk')'
'Raw input: #myjutuk#####':'('LD output: myjutuk', 'UDT output: myjutuk')'
'Raw input: myjutuk######':'('LD output: myjutuk', 'UDT output: myjutuk')'
'Raw input: ######runedkä':'('LD output: runedkä', 'UDT output: runedkä')'
'Raw input: #####runedkä#':'('LD output: runedkä', 'UDT output: runedkä')'
'Raw input: ####runedkä##':'('LD output: runedkä', 'UDT output: runedkä')'
'Raw input: ###runedkä###':'('LD output: runedkä', 'UDT output: runedkä')'
'Raw input: ##runedkä####':'('LD output: runedkä', 'UDT output: runedkä')'
'Raw input: #runedkä#####':'('LD output: runedkä', 'UDT output: runedkä')'
'Raw input: runedkä######':'('LD output: runedkä', 'UDT output: runedkä')'
'Raw input: ######dutipak':'('LD output: dutipak', 'UDT output: dutipak')'
'Raw input: #####dutipak#':'('LD output: dutipak', 'UDT output: dutipak')'
'Raw input: ####dutipak##':'('LD output: dutipak', 'UDT output: dutipak')'
'Raw input: ###dutipak###':'('LD output: dutipak', 'UDT output: dutipak')'
'Raw input: ##dutipak####':'('LD output: dutipak', 'UDT output: dutipak')'
'Raw input: #dutipak#####':'('LD output: dutipak', 'UDT output: dutipak')'
'Raw input: dutipak######':'('LD output: dutipak', 'UDT output: dutipak')'
'Raw input: ######jiföase':'('LD output: jiföase', 'UDT output: jiföase')'
'Raw input: #####jiföase#':'('LD output: jiföase', 'UDT output: jiföase')'
'Raw input: ####jiföase##':'('LD output: jiföase', 'UDT output: jiföase')'
'Raw input: ###jiföase###':'('LD output: jiföase', 'UDT output: jiföase')'
'Raw input: ##jiföase####':'('LD output: jiföase', 'UDT output: jiföase')'
'Raw input: #jiföase#####':'('LD output: jiföase', 'UDT output: jiföase')'
'Raw input: jiföase######':'('LD output: jiföase', 'UDT output: jiföase')'
'Raw input: ######annhrib':'('LD output: annhrib', 'UDT output: annhrib')'
'Raw input: #####annhrib#':'('LD output: annhrib', 'UDT output: annhrib')'
'Raw input: ####annhrib##':'('LD output: annhrib', 'UDT output: annhrib')'
'Raw input: ###annhrib###':'('LD output: annhrib', 'UDT output: annhrib')'
'Raw input: ##annhrib####':'('LD output: annhrib', 'UDT output: annhrib')'
'Raw input: #annhrib#####':'('LD output: annhrib', 'UDT output: annhrib')'
'Raw input: annhrib######':'('LD output: annhrib', 'UDT output: annhrib')'
'Raw input: ######oberjok':'('LD output: oberjok', 'UDT output: oberjok')'
'Raw input: #####oberjok#':'('LD output: oberjok', 'UDT output: oberjok')'
'Raw input: ####oberjok##':'('LD output: oberjok', 'UDT output: oberjok')'
'Raw input: ###oberjok###':'('LD output: oberjkk', 'UDT output: oberjok')'
'Raw input: ##oberjok####':'('LD output: oberjok', 'UDT output: oberjok')'
'Raw input: #oberjok#####':'('LD output: oberjok', 'UDT output: oberjok')'
'Raw input: oberjok######':'('LD output: oberjok', 'UDT output: oberjok')'
'Raw input: ######dnvfnib':'('LD output: dnvfnib', 'UDT output: dnvfnib')'
'Raw input: #####dnvfnib#':'('LD output: dnvfnib', 'UDT output: dnvfnib')'
'Raw input: ####dnvfnib##':'('LD output: dnvfnib', 'UDT output: dnvfnib')'
'Raw input: ###dnvfnib###':'('LD output: dnvfnib', 'UDT output: dnvfnib')'
'Raw input: ##dnvfnib####':'('LD output: dnvfnib', 'UDT output: dnvfnib')'
'Raw input: #dnvfnib#####':'('LD output: dnvfnib', 'UDT output: dnvfnib')'
'Raw input: dnvfnib######':'('LD output: dnvfnib', 'UDT output: dnvfnib')'
'Raw input: ######byhutpr':'('LD output: byhutpr', 'UDT output: byhutpr')'
'Raw input: #####byhutpr#':'('LD output: byhutrr', 'UDT output: byhutpr')'
'Raw input: ####byhutpr##':'('LD output: byhutpr', 'UDT output: byhutpr')'
'Raw input: ###byhutpr###':'('LD output: byhutpr', 'UDT output: byhutpr')'
'Raw input: ##byhutpr####':'('LD output: byhutpr', 'UDT output: byhutpr')'
'Raw input: #byhutpr#####':'('LD output: byhutpr', 'UDT output: byhutpr')'
'Raw input: byhutpr######':'('LD output: byhutpr', 'UDT output: byhutpr')'
'Raw input: ######mdpjvgt':'('LD output: mdpjvgt', 'UDT output: mdpjvgt')'
'Raw input: #####mdpjvgt#':'('LD output: mdpjvgt', 'UDT output: mdpjvgt')'
'Raw input: ####mdpjvgt##':'('LD output: mdpjvgt', 'UDT output: mdpjvgt')'
'Raw input: ###mdpjvgt###':'('LD output: mdpjvgt', 'UDT output: mdpjvgt')'
'Raw input: ##mdpjvgt####':'('LD output: mdpjvgt', 'UDT output: mdpjvgt')'
'Raw input: #mdpjvgt#####':'('LD output: mdpjvgt', 'UDT output: mdpjvgt')'
'Raw input: mdpjvgt######':'('LD output: mdpjvgt', 'UDT output: mdpjvgt')'
'Raw input: ######hmejerg':'('LD output: hmejerg', 'UDT output: hmejerg')'
'Raw input: #####hmejerg#':'('LD output: hmejerg', 'UDT output: hmejerg')'
'Raw input: ####hmejerg##':'('LD output: hmejerg', 'UDT output: hmejerg')'
'Raw input: ###hmejerg###':'('LD output: hmejerg', 'UDT output: hmejerg')'
'Raw input: ##hmejerg####':'('LD output: hmejerg', 'UDT output: hmejerg')'
'Raw input: #hmejerg#####':'('LD output: hmejerg', 'UDT output: hmejerg')'
'Raw input: hmejerg######':'('LD output: hmejerg', 'UDT output: hmejerg')'
'Raw input: ######kbyärhp':'('LD output: kbyärhp', 'UDT output: kbyärhp')'
'Raw input: #####kbyärhp#':'('LD output: ksyärhp', 'UDT output: kbyärhp')'
'Raw input: ####kbyärhp##':'('LD output: kbyärhp', 'UDT output: kbyärhp')'
'Raw input: ###kbyärhp###':'('LD output: kbyärhp', 'UDT output: kbyärhp')'
'Raw input: ##kbyärhp####':'('LD output: kbyärhp', 'UDT output: kbyärhp')'
'Raw input: #kbyärhp#####':'('LD output: kbyärhp', 'UDT output: kbyärhp')'
'Raw input: kbyärhp######':'('LD output: kbyärhp', 'UDT output: kbyärhp')'
'Raw input: ######jnvöhkh':'('LD output: jnvöhkh', 'UDT output: jnvöhkh')'
'Raw input: #####jnvöhkh#':'('LD output: jnvöhkh', 'UDT output: jnvöhkh')'
'Raw input: ####jnvöhkh##':'('LD output: jnvöhkh', 'UDT output: jnvöhkh')'
'Raw input: ###jnvöhkh###':'('LD output: jnvöhkh', 'UDT output: jnvöhkh')'
'Raw input: ##jnvöhkh####':'('LD output: jnvöhkh', 'UDT output: jnvöhkh')'
'Raw input: #jnvöhkh#####':'('LD output: jnvöhkh', 'UDT output: jnvöhkh')'
'Raw input: jnvöhkh######':'('LD output: jnvöhkh', 'UDT output: jnvöhkh')'
'Raw input: ######urlvnht':'('LD output: urlvnht', 'UDT output: urlvnht')'
'Raw input: #####urlvnht#':'('LD output: urlvnht', 'UDT output: urlvnht')'
'Raw input: ####urlvnht##':'('LD output: urlvnht', 'UDT output: urlvnht')'
'Raw input: ###urlvnht###':'('LD output: urlvnht', 'UDT output: urlvnht')'
'Raw input: ##urlvnht####':'('LD output: urlvnht', 'UDT output: urlvnht')'
'Raw input: #urlvnht#####':'('LD output: urlvnht', 'UDT output: urlvnht')'
'Raw input: urlvnht######':'('LD output: urlvnht', 'UDT output: urlvnht')'
'Raw input: ######epntsrp':'('LD output: epntsrp', 'UDT output: epntsrp')'
'Raw input: #####epntsrp#':'('LD output: epntsrp', 'UDT output: epntsrp')'
'Raw input: ####epntsrp##':'('LD output: epntsrp', 'UDT output: epntsrp')'
'Raw input: ###epntsrp###':'('LD output: epntsrp', 'UDT output: epntsrp')'
'Raw input: ##epntsrp####':'('LD output: epntsrp', 'UDT output: epntsrp')'
'Raw input: #epntsrp#####':'('LD output: epntsrp', 'UDT output: epntsrp')'
'Raw input: epntsrp######':'('LD output: epntsrp', 'UDT output: epntsrp')'
'Raw input: ######hmyayjö':'('LD output: hmyayjö', 'UDT output: hmyayjö')'
'Raw input: #####hmyayjö#':'('LD output: hmmayjö', 'UDT output: hmyayjö')'
'Raw input: ####hmyayjö##':'('LD output: hmyayjö', 'UDT output: hmyayjö')'
'Raw input: ###hmyayjö###':'('LD output: hmyayjö', 'UDT output: hmyayjö')'
'Raw input: ##hmyayjö####':'('LD output: hmyayjö', 'UDT output: hmyayjö')'
'Raw input: #hmyayjö#####':'('LD output: hmyayjö', 'UDT output: hmyayjö')'
'Raw input: hmyayjö######':'('LD output: hmyayjö', 'UDT output: hmyayjö')'
'Raw input: ######oeusnvh':'('LD output: oeusnvh', 'UDT output: oeusnvh')'
'Raw input: #####oeusnvh#':'('LD output: oeusnvh', 'UDT output: oeusnvh')'
'Raw input: ####oeusnvh##':'('LD output: oeusnvh', 'UDT output: oeusnvh')'
'Raw input: ###oeusnvh###':'('LD output: oeusnvh', 'UDT output: oeusnvh')'
'Raw input: ##oeusnvh####':'('LD output: oeusnvh', 'UDT output: oeusnvh')'
'Raw input: #oeusnvh#####':'('LD output: oeusnvh', 'UDT output: oeusnvh')'
'Raw input: oeusnvh######':'('LD output: oeusnvh', 'UDT output: oeusnvh')'
'Raw input: ######nedblol':'('LD output: nedblol', 'UDT output: nedblol')'
'Raw input: #####nedblol#':'('LD output: nedblol', 'UDT output: nedblol')'
'Raw input: ####nedblol##':'('LD output: nedblol', 'UDT output: nedblol')'
'Raw input: ###nedblol###':'('LD output: nedblol', 'UDT output: nedblol')'
'Raw input: ##nedblol####':'('LD output: nedblol', 'UDT output: nedblol')'
'Raw input: #nedblol#####':'('LD output: nedblol', 'UDT output: nedblol')'
'Raw input: nedblol######':'('LD output: nedblol', 'UDT output: nedblol')'
'Raw input: ######rälgdäd':'('LD output: rälgdäd', 'UDT output: rälgdäd')'
'Raw input: #####rälgdäd#':'('LD output: rälgdäd', 'UDT output: rälgdäd')'
'Raw input: ####rälgdäd##':'('LD output: rälgdäd', 'UDT output: rälgdäd')'
'Raw input: ###rälgdäd###':'('LD output: rälgdäd', 'UDT output: rälgdäd')'
'Raw input: ##rälgdäd####':'('LD output: rälgdäd', 'UDT output: rälgdäd')'
'Raw input: #rälgdäd#####':'('LD output: rälgdäd', 'UDT output: rälgdäd')'
'Raw input: rälgdäd######':'('LD output: rälgdäd', 'UDT output: rälgdäd')'
'Raw input: ######fkkffoj':'('LD output: fkkffoj', 'UDT output: fkkffoj')'
'Raw input: #####fkkffoj#':'('LD output: fkkffoj', 'UDT output: fkkffoj')'
'Raw input: ####fkkffoj##':'('LD output: fkkffoj', 'UDT output: fkkffoj')'
'Raw input: ###fkkffoj###':'('LD output: fkkffoj', 'UDT output: fkkffoj')'
'Raw input: ##fkkffoj####':'('LD output: fkkffoj', 'UDT output: fkkffoj')'
'Raw input: #fkkffoj#####':'('LD output: fkkffoj', 'UDT output: fkkffoj')'
'Raw input: fkkffoj######':'('LD output: fkkffoj', 'UDT output: fkkffoj')'
'Raw input: ######fupiato':'('LD output: fupiato', 'UDT output: fupiato')'
'Raw input: #####fupiato#':'('LD output: fupiato', 'UDT output: fupiato')'
'Raw input: ####fupiato##':'('LD output: fupiato', 'UDT output: fupiato')'
'Raw input: ###fupiato###':'('LD output: fupiato', 'UDT output: fupiato')'
'Raw input: ##fupiato####':'('LD output: fupiato', 'UDT output: fupiato')'
'Raw input: #fupiato#####':'('LD output: fupiato', 'UDT output: fupiato')'
'Raw input: fupiato######':'('LD output: fupiato', 'UDT output: fupiato')'
'Raw input: ######mtdnpub':'('LD output: mtdnpub', 'UDT output: mtdnpub')'
'Raw input: #####mtdnpub#':'('LD output: mtdnpub', 'UDT output: mtdnpub')'
'Raw input: ####mtdnpub##':'('LD output: mtdnpub', 'UDT output: mtdnpub')'
'Raw input: ###mtdnpub###':'('LD output: mtdnpub', 'UDT output: mtdnpub')'
'Raw input: ##mtdnpub####':'('LD output: mtdnpub', 'UDT output: mtdnpub')'
'Raw input: #mtdnpub#####':'('LD output: mtdnpub', 'UDT output: mtdnpub')'
'Raw input: mtdnpub######':'('LD output: mtdnpub', 'UDT output: mtdnpub')'
'Raw input: ######gdafeav':'('LD output: gdafeav', 'UDT output: gdafeav')'
'Raw input: #####gdafeav#':'('LD output: gdafeav', 'UDT output: gdafeav')'
'Raw input: ####gdafeav##':'('LD output: gdafeav', 'UDT output: gdafeav')'
'Raw input: ###gdafeav###':'('LD output: gdafeav', 'UDT output: gdafeav')'
'Raw input: ##gdafeav####':'('LD output: gdafeav', 'UDT output: gdafeav')'
'Raw input: #gdafeav#####':'('LD output: gdafeav', 'UDT output: gdafeav')'
'Raw input: gdafeav######':'('LD output: gdafeav', 'UDT output: gdafeav')'
'Raw input: ######äryakid':'('LD output: äryakid', 'UDT output: äryakid')'
'Raw input: #####äryakid#':'('LD output: äryakid', 'UDT output: äryakid')'
'Raw input: ####äryakid##':'('LD output: äryakid', 'UDT output: äryakid')'
'Raw input: ###äryakid###':'('LD output: äryakid', 'UDT output: äryakid')'
'Raw input: ##äryakid####':'('LD output: äryakid', 'UDT output: äryakid')'
'Raw input: #äryakid#####':'('LD output: äryakid', 'UDT output: äryakid')'
'Raw input: äryakid######':'('LD output: äryakid', 'UDT output: äryakid')'
'Raw input: ######aruggga':'('LD output: aruggga', 'UDT output: aruggga')'
'Raw input: #####aruggga#':'('LD output: aruggga', 'UDT output: aruggga')'
'Raw input: ####aruggga##':'('LD output: aruggga', 'UDT output: aruggga')'
'Raw input: ###aruggga###':'('LD output: aruggga', 'UDT output: aruggga')'
'Raw input: ##aruggga####':'('LD output: aruggga', 'UDT output: aruggga')'
'Raw input: #aruggga#####':'('LD output: aruggga', 'UDT output: aruggga')'
'Raw input: aruggga######':'('LD output: aruggga', 'UDT output: aruggga')'
'Raw input: ######köähihl':'('LD output: köähihl', 'UDT output: köähihl')'
'Raw input: #####köähihl#':'('LD output: köähihl', 'UDT output: köähihl')'
'Raw input: ####köähihl##':'('LD output: köähihl', 'UDT output: köähihl')'
'Raw input: ###köähihl###':'('LD output: köähihl', 'UDT output: köähihl')'
'Raw input: ##köähihl####':'('LD output: köähihl', 'UDT output: köähihl')'
'Raw input: #köähihl#####':'('LD output: köähihl', 'UDT output: köähihl')'
'Raw input: köähihl######':'('LD output: köähihl', 'UDT output: köähihl')'
'Raw input: ######eptgdbe':'('LD output: eptgdbe', 'UDT output: eptgdbe')'
'Raw input: #####eptgdbe#':'('LD output: eptgdbe', 'UDT output: eptgdbe')'
'Raw input: ####eptgdbe##':'('LD output: eptgdbe', 'UDT output: eptgdbe')'
'Raw input: ###eptgdbe###':'('LD output: eptgdbe', 'UDT output: eptgdbe')'
'Raw input: ##eptgdbe####':'('LD output: eptgdbe', 'UDT output: eptgdbe')'
'Raw input: #eptgdbe#####':'('LD output: eptgdbe', 'UDT output: eptgdbe')'
'Raw input: eptgdbe######':'('LD output: eptgdbe', 'UDT output: eptgdbe')'
'Raw input: ######fleöäju':'('LD output: fleöäju', 'UDT output: fleöäju')'
'Raw input: #####fleöäju#':'('LD output: fleöäju', 'UDT output: fleöäju')'
'Raw input: ####fleöäju##':'('LD output: fleöäju', 'UDT output: fleöäju')'
'Raw input: ###fleöäju###':'('LD output: fleöäju', 'UDT output: fleöäju')'
'Raw input: ##fleöäju####':'('LD output: fleöäju', 'UDT output: fleöäju')'
'Raw input: #fleöäju#####':'('LD output: fleöäju', 'UDT output: fleöäju')'
'Raw input: fleöäju######':'('LD output: fleöäju', 'UDT output: fleöäju')'
'Raw input: ######ksöffis':'('LD output: ksöffis', 'UDT output: ksöffis')'
'Raw input: #####ksöffis#':'('LD output: ksöffis', 'UDT output: ksöffis')'
'Raw input: ####ksöffis##':'('LD output: ksöffis', 'UDT output: ksöffis')'
'Raw input: ###ksöffis###':'('LD output: ksöffis', 'UDT output: ksöffis')'
'Raw input: ##ksöffis####':'('LD output: ksöffis', 'UDT output: ksöffis')'
'Raw input: #ksöffis#####':'('LD output: ksöffis', 'UDT output: ksöffis')'
'Raw input: ksöffis######':'('LD output: ksöffis', 'UDT output: ksöffis')'
'Raw input: ######rälkneb':'('LD output: rälkneb', 'UDT output: rälkneb')'
'Raw input: #####rälkneb#':'('LD output: rälkneb', 'UDT output: rälkneb')'
'Raw input: ####rälkneb##':'('LD output: rälkneb', 'UDT output: rälkneb')'
'Raw input: ###rälkneb###':'('LD output: rälkneb', 'UDT output: rälkneb')'
'Raw input: ##rälkneb####':'('LD output: rälkneb', 'UDT output: rälkneb')'
'Raw input: #rälkneb#####':'('LD output: rälkneb', 'UDT output: rälkneb')'
'Raw input: rälkneb######':'('LD output: rälkneb', 'UDT output: rälkneb')'
'Raw input: ######hbäkähd':'('LD output: hbäkähd', 'UDT output: hbäkähd')'
'Raw input: #####hbäkähd#':'('LD output: hbäkähd', 'UDT output: hbäkähd')'
'Raw input: ####hbäkähd##':'('LD output: hbäkähd', 'UDT output: hbäkähd')'
'Raw input: ###hbäkähd###':'('LD output: hbäkähd', 'UDT output: hbäkähd')'
'Raw input: ##hbäkähd####':'('LD output: hbäkähd', 'UDT output: hbäkähd')'
'Raw input: #hbäkähd#####':'('LD output: hbäkähd', 'UDT output: hbäkähd')'
'Raw input: hbäkähd######':'('LD output: hbäkähd', 'UDT output: hbäkähd')'
'Raw input: ######sövymyg':'('LD output: sövymyg', 'UDT output: sövymyg')'
'Raw input: #####sövymyg#':'('LD output: sövymyg', 'UDT output: sövymyg')'
'Raw input: ####sövymyg##':'('LD output: sövymyg', 'UDT output: sövymyg')'
'Raw input: ###sövymyg###':'('LD output: sövymyg', 'UDT output: sövymyg')'
'Raw input: ##sövymyg####':'('LD output: sövymyg', 'UDT output: sövymyg')'
'Raw input: #sövymyg#####':'('LD output: sövymyg', 'UDT output: sövymyg')'
'Raw input: sövymyg######':'('LD output: sövymyg', 'UDT output: sövymyg')'
'Raw input: ######nvupbgn':'('LD output: nvupbgn', 'UDT output: nvupbgn')'
'Raw input: #####nvupbgn#':'('LD output: nvupbgn', 'UDT output: nvupbgn')'
'Raw input: ####nvupbgn##':'('LD output: nvupbgn', 'UDT output: nvupbgn')'
'Raw input: ###nvupbgn###':'('LD output: nvupbgn', 'UDT output: nvupbgn')'
'Raw input: ##nvupbgn####':'('LD output: nvupbgn', 'UDT output: nvupbgn')'
'Raw input: #nvupbgn#####':'('LD output: nvupbgn', 'UDT output: nvupbgn')'
'Raw input: nvupbgn######':'('LD output: nvupbgn', 'UDT output: nvupbgn')'
'Raw input: ######llhaoäv':'('LD output: llhaoäv', 'UDT output: llhaoäv')'
'Raw input: #####llhaoäv#':'('LD output: llhaoäv', 'UDT output: llhaoäv')'
'Raw input: ####llhaoäv##':'('LD output: llhaoäv', 'UDT output: llhaoäv')'
'Raw input: ###llhaoäv###':'('LD output: llhaoäv', 'UDT output: llhaoäv')'
'Raw input: ##llhaoäv####':'('LD output: llhaoäv', 'UDT output: llhaoäv')'
'Raw input: #llhaoäv#####':'('LD output: llhaoäv', 'UDT output: llhaoäv')'
'Raw input: llhaoäv######':'('LD output: llhaoäv', 'UDT output: llhaoäv')'
'Raw input: ######hsplgay':'('LD output: hsplgay', 'UDT output: hsplgay')'
'Raw input: #####hsplgay#':'('LD output: hsplgay', 'UDT output: hsplgay')'
'Raw input: ####hsplgay##':'('LD output: hsplgay', 'UDT output: hsplgay')'
'Raw input: ###hsplgay###':'('LD output: hsplgay', 'UDT output: hsplgay')'
'Raw input: ##hsplgay####':'('LD output: hsplgay', 'UDT output: hsplgay')'
'Raw input: #hsplgay#####':'('LD output: hsplgay', 'UDT output: hsplgay')'
'Raw input: hsplgay######':'('LD output: hsplgay', 'UDT output: hsplgay')'
'Raw input: ######bmgnmbp':'('LD output: bmgnmbp', 'UDT output: bmgnmbp')'
'Raw input: #####bmgnmbp#':'('LD output: bmgnmbp', 'UDT output: bmgnmbp')'
'Raw input: ####bmgnmbp##':'('LD output: bmgnmbp', 'UDT output: bmgnmbp')'
'Raw input: ###bmgnmbp###':'('LD output: bmgnmbp', 'UDT output: bmgnmbp')'
'Raw input: ##bmgnmbp####':'('LD output: bmgnmbp', 'UDT output: bmgnmbp')'
'Raw input: #bmgnmbp#####':'('LD output: bmgnmbp', 'UDT output: bmgnmbp')'
'Raw input: bmgnmbp######':'('LD output: bmgnmbp', 'UDT output: bmgnmbp')'
'Raw input: ######nonbljb':'('LD output: nonbljb', 'UDT output: nonbljb')'
'Raw input: #####nonbljb#':'('LD output: nonbljb', 'UDT output: nonbljb')'
'Raw input: ####nonbljb##':'('LD output: nonbljb', 'UDT output: nonbljb')'
'Raw input: ###nonbljb###':'('LD output: nonbljb', 'UDT output: nonbljb')'
'Raw input: ##nonbljb####':'('LD output: nonbljb', 'UDT output: nonbljb')'
'Raw input: #nonbljb#####':'('LD output: nonbljb', 'UDT output: nonbljb')'
'Raw input: nonbljb######':'('LD output: nonbljb', 'UDT output: nonbljb')'
'Raw input: ######thjhkfi':'('LD output: thjhkfi', 'UDT output: thjhkfi')'
'Raw input: #####thjhkfi#':'('LD output: thjhkfi', 'UDT output: thjhkfi')'
'Raw input: ####thjhkfi##':'('LD output: thjhkfi', 'UDT output: thjhkfi')'
'Raw input: ###thjhkfi###':'('LD output: thjhkfi', 'UDT output: thjhkfi')'
'Raw input: ##thjhkfi####':'('LD output: thjhkfi', 'UDT output: thjhkfi')'
'Raw input: #thjhkfi#####':'('LD output: thjhkfi', 'UDT output: thjhkfi')'
'Raw input: thjhkfi######':'('LD output: thjhkfi', 'UDT output: thjhkfi')'
'Raw input: ######föikyji':'('LD output: föikyji', 'UDT output: föikyji')'
'Raw input: #####föikyji#':'('LD output: föikyji', 'UDT output: föikyji')'
'Raw input: ####föikyji##':'('LD output: föikyji', 'UDT output: föikyji')'
'Raw input: ###föikyji###':'('LD output: föikyji', 'UDT output: föikyji')'
'Raw input: ##föikyji####':'('LD output: föikyji', 'UDT output: föikyji')'
'Raw input: #föikyji#####':'('LD output: föikyji', 'UDT output: föikyji')'
'Raw input: föikyji######':'('LD output: föikyji', 'UDT output: föikyji')'
'Raw input: ######pvrblnb':'('LD output: pvrblnb', 'UDT output: pvrblnb')'
'Raw input: #####pvrblnb#':'('LD output: pvrblnb', 'UDT output: pvrblnb')'
'Raw input: ####pvrblnb##':'('LD output: pvrblnb', 'UDT output: pvrblnb')'
'Raw input: ###pvrblnb###':'('LD output: pvrblnb', 'UDT output: pvrblnb')'
'Raw input: ##pvrblnb####':'('LD output: pvrblnb', 'UDT output: pvrblnb')'
'Raw input: #pvrblnb#####':'('LD output: pvrblnb', 'UDT output: pvrblnb')'
'Raw input: pvrblnb######':'('LD output: pvrblnb', 'UDT output: pvrblnb')'
'Raw input: ######mpkskär':'('LD output: mpkskär', 'UDT output: mpkskär')'
'Raw input: #####mpkskär#':'('LD output: mpkskär', 'UDT output: mpkskär')'
'Raw input: ####mpkskär##':'('LD output: mpkskär', 'UDT output: mpkskär')'
'Raw input: ###mpkskär###':'('LD output: mpkskär', 'UDT output: mpkskär')'
'Raw input: ##mpkskär####':'('LD output: mpkskär', 'UDT output: mpkskär')'
'Raw input: #mpkskär#####':'('LD output: mpkskär', 'UDT output: mpkskär')'
'Raw input: mpkskär######':'('LD output: mpkskär', 'UDT output: mpkskär')'
'Raw input: ######adiäagm':'('LD output: adiäagm', 'UDT output: adiäagm')'
'Raw input: #####adiäagm#':'('LD output: adiäagm', 'UDT output: adiäagm')'
'Raw input: ####adiäagm##':'('LD output: adiäagm', 'UDT output: adiäagm')'
'Raw input: ###adiäagm###':'('LD output: adiäagm', 'UDT output: adiäagm')'
'Raw input: ##adiäagm####':'('LD output: adiäagm', 'UDT output: adiäagm')'
'Raw input: #adiäagm#####':'('LD output: adiäagm', 'UDT output: adiäagm')'
'Raw input: adiäagm######':'('LD output: adiäagm', 'UDT output: adiäagm')'
'Raw input: ######ruefnip':'('LD output: ruefnip', 'UDT output: ruefnip')'
'Raw input: #####ruefnip#':'('LD output: ruefnip', 'UDT output: ruefnip')'
'Raw input: ####ruefnip##':'('LD output: ruefnip', 'UDT output: ruefnip')'
'Raw input: ###ruefnip###':'('LD output: ruefnip', 'UDT output: ruefnip')'
'Raw input: ##ruefnip####':'('LD output: ruefnip', 'UDT output: ruefnip')'
'Raw input: #ruefnip#####':'('LD output: ruefnip', 'UDT output: ruefnip')'
'Raw input: ruefnip######':'('LD output: ruefnip', 'UDT output: ruefnip')'
'Raw input: ######ysgpkji':'('LD output: ysgpkji', 'UDT output: ysgpkji')'
'Raw input: #####ysgpkji#':'('LD output: ysgpkji', 'UDT output: ysgpkji')'
